code,name,formal_name,continent,region,longitude,latitude
AFG,Afghanistan,the Islamic State of Afghanistan,Asia,Southern Asia,66.59216131095278,34.13402601376932
ALB,Albania,the Republic of Albania,Europe,Southern Europe,20.061082767269493,41.14165894891656
DZA,Algeria,the People's Democratic Republic of Algeria,Africa,Northern Africa,2.6558464719769135,28.350969744889056
AND,Andorra,the Principality of Andorra,Europe,Southern Europe,1.5802243611232873,42.54859834854764
AGO,Angola,the Republic of Angola,Africa,Middle Africa,17.651768783079,-12.167424062667942
AIA,Anguilla,Anguilla,Latin America and the Caribbean,Caribbean,-63.06008343771806,18.222874004219086
ATG,Antigua and Barbuda,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,-61.78530823226373,17.07146759372967
ARG,Argentina,the Argentine Republic,Latin America and the Caribbean,South America,-64.53238503843076,-35.697270518120085
ARM,Armenia,the Republic of Armenia,Asia,Western Asia,45.05490831965259,40.17841274230679
ABW,Aruba,Aruba,Latin America and the Caribbean,Caribbean,-69.97564014284046,12.515625722992898
AUS,Australia,Australia,Oceania,Australia-New Zealand,134.02277170916162,-25.697337673983082
AUT,Austria,the Republic of Austria,Europe,Western Europe,13.797778364631036,47.631858269895794
AZE,Azerbaijan,the Azerbaijani Republic,Asia,Western Asia,48.634592670644324,40.3920509942049
BHS,Bahamas,the Commonwealth of the Bahamas,Latin America and the Caribbean,Caribbean,-78.07275370060313,24.72162633646784
BHR,Bahrain,the State of Bahrain,Asia,Western Asia,50.540695402276775,26.04798501537066
BGD,Bangladesh,the People's Republic of Bangladesh,Asia,Southern Asia,90.43212562608613,23.673728665121
BRB,Barbados,Barbados,Latin America and the Caribbean,Caribbean,-59.557383949150285,13.183219369337529
BLR,Belarus,the Republic of Belarus,Europe,Eastern Europe,27.964252054715104,53.46791374543163
BEL,Belgium,the Kingdom of Belgium,Europe,Western Europe,4.675010154696485,50.6182138854095
BLZ,Belize,Belize,Latin America and the Caribbean,Central America,-88.68273510023441,17.24252476647155
BEN,Benin,the Republic of Benin,Africa,Western Africa,2.305714528830206,9.503013199615893
BMU,Bermuda,Bermuda,Northern America,Northern America,-64.7458500599169,32.315067430740726
BTN,Bhutan,the Kingdom of Bhutan,Asia,Southern Asia,90.46716647173861,27.42163933959824
BOL,Bolivia (Plurinational State of),Plurinational State of Bolivia,Latin America and the Caribbean,South America,-64.45209597511206,-16.7312488393574
BES,"Bonaire, Saint Eustatius and Saba","Bonaire, Saint Eustatius and Saba",Latin America and the Caribbean,Caribbean,,
BIH,Bosnia and Herzegovina,the Republic of Bosnia and Herzegovina,Europe,Southern Europe,17.83467240787538,44.14415356126429
BWA,Botswana,the Republic of Botswana,Africa,Southern Africa,23.85779956995608,-22.236609002062902
BVT,Bouvet Island,Bouvet Island,Africa,Southern Africa,3.411969465057627,-54.42316679395248
BRA,Brazil,the Federative Republic of Brazil,Latin America and the Caribbean,South America,-54.355206608256424,-11.524630416426652
VGB,British Virgin Islands,British Virgin Islands,Latin America and the Caribbean,Caribbean,-64.62406519257699,18.42195819619707
BRN,Brunei Darussalam,Brunei and Darussalam,Asia,South-eastern Asia,114.6430958360464,4.543205889917609
BGR,Bulgaria,the Republic of Bulgaria,Europe,Eastern Europe,25.251739122561908,42.82043677302438
BFA,Burkina Faso,Burkina Faso,Africa,Western Africa,-1.6932816211842325,12.108709036312737
BDI,Burundi,the Republic of Burundi,Africa,Eastern Africa,29.88518227845293,-3.261251993278643
CPV,Cabo Verde,the Republic of Cape Verde,Africa,Western Africa,-23.63401005900474,15.076411518651643
KHM,Cambodia,The Kingdom of Cambodia,Asia,South-eastern Asia,105.03973078680701,12.699186865507775
CMR,Cameroon,the Republic of Cameroon,Africa,Middle Africa,12.948474142398263,6.294168487480992
CAN,Canada,Canada,Northern America,Northern America,-98.41680517868062,57.550480044655636
CYM,Cayman Islands,Cayman Islands,Latin America and the Caribbean,Caribbean,-81.25203208977878,19.311231805620288
CAF,Central African Rep.,the Central African Republic,Africa,Middle Africa,20.520743419397256,6.331390033944319
TCD,Chad,the Republic of Chad,Africa,Middle Africa,18.427113900363025,15.283493546654503
CHL,Chile,the Republic of Chile,Latin America and the Caribbean,South America,-70.76863431739216,-37.82938283049967
CHN,China,the People's Republic of China,Asia,Eastern Asia,104.69113855849604,38.07325481105728
HKG,"China, Hong Kong SAR","China, Hong Kong SAR",Asia,Eastern Asia,,
MAC,"China, Macao SAR","China, Macao SAR",Asia,Eastern Asia,,
COL,Colombia,the Republic of Colombia,Latin America and the Caribbean,South America,-72.6445066243485,4.187753877352739
COM,Comoros,the Islamic Federal Republic of the Comoros,Africa,Eastern Africa,43.34826587429403,-11.658861474508491
COG,Congo,the Republic of the Congo,Africa,Middle Africa,14.879732849491393,-0.7294391595233845
COK,Cook Islands,the Cook Islands,Oceania,Polynesia,-159.78768870952257,-21.222613253399842
CRI,Costa Rica,the Republic of Costa Rica,Latin America and the Caribbean,Central America,-84.14673625701816,9.863467407406214
CIV,Cote d'Ivoire,the Republic of Cote d'Ivoire,Africa,Western Africa,-5.571710194917734,7.536779279421307
HRV,Croatia,the Republic of Croatia,Europe,Southern Europe,16.625761129583374,44.91192100856702
CUB,Cuba,the Republic of Cuba,Latin America and the Caribbean,Caribbean,-79.69817857618705,21.476176522869448
CUW,Curacao ,Curacao ,Latin America and the Caribbean,Caribbean,-68.96939768599042,12.199996647939832
CYP,Cyprus,the Republic of Cyprus,Asia,Western Asia,33.375346009199205,35.11700416345239
CZE,Czechia,Czechia,Europe,Eastern Europe,15.383273292023533,49.74917370930982
PRK,Dem. People's Rep. of Korea,the Democratic People's Republic of Korea,Asia,Eastern Asia,127.3379805653744,40.19198091470839
COD,Dem. Rep. of the Congo,the Democratic Republic of the Congo,Africa,Middle Africa,23.419827574282188,-3.338629596207896
DNK,Denmark,the Kingdom of Denmark,Europe,Northern Europe,9.378670542409406,56.00118817971057
DJI,Djibouti,the Republic of Djibouti,Africa,Eastern Africa,42.613496898789506,11.750235727618804
DMA,Dominica,the Commonwealth of Dominica,Latin America and the Caribbean,Caribbean,-61.360471946942994,15.429269860940513
DOM,Dominican Rep.,the Dominican Republic,Latin America and the Caribbean,Caribbean,-70.43495198520012,18.77954818522993
ECU,Ecuador,the Republic of Ecuador,Latin America and the Caribbean,South America,-78.4630326109714,-1.5642721388853116
EGY,Egypt,the Arab Republic of Egypt,Africa,Northern Africa,30.240135435012338,26.60517034450628
SLV,El Salvador,the Republic of El Salvador,Latin America and the Caribbean,Central America,-88.85911489238985,13.758041517055418
GNQ,Equatorial Guinea,the Republic of Equatorial Guinea,Africa,Middle Africa,10.425456672353823,1.5954643936590733
ERI,Eritrea,Eritrea,Africa,Eastern Africa,39.2672401449901,15.005533147667684
EST,Estonia,the Republic of Estonia,Europe,Northern Europe,25.916870250633806,58.648108311231034
SWZ,Eswatini,the Kingdom of Eswatini,Africa,Southern Africa,31.510685746082007,-26.562540935608702
ETH,Ethiopia,the Federal Democratic Republic of Ethiopia,Africa,Eastern Africa,39.914902886544276,8.729389557048396
FRO,Faeroe Islands,Faeroe Islands,Europe,Northern Europe,-6.9811060913122835,62.130896281495346
FJI,Fiji,the Republic of Fiji,Oceania,Melanesia,177.98144613732626,-17.822470952336204
FIN,Finland,the Republic of Finland,Europe,Northern Europe,25.65738433454702,65.01578959749911
FRA,France,the French Republic,Europe,Western Europe,2.1940236627886227,46.6423682169416
GUF,French Guiana,French Guiana,Latin America and the Caribbean,South America,-53.32232307156624,3.857429742497078
PYF,French Polynesia,French Polynesia,Oceania,Polynesia,-149.40041671099763,-17.674684080120677
GAB,Gabon,the Gabonese Republic,Africa,Middle Africa,11.839410898545754,-0.628448459921234
GMB,Gambia,The Republic of Gambia,Africa,Western Africa,-15.383380385869662,13.428617959189328
GEO,Georgia,Georgia,Asia,Western Asia,43.378866534112234,42.17986277737226
DEU,Germany,the Federal Republic of Germany,Europe,Western Europe,10.426171427430804,51.08304539800482
GHA,Ghana,the Republic of Ghana,Africa,Western Africa,-1.219233362526581,7.94530467243628
GIB,Gibraltar,Gibraltar,Europe,Southern Europe,-5.345549484594358,36.14022671336082
GRC,Greece,the Hellenic Republic,Europe,Southern Europe,23.110368936161876,39.42012261727978
GRL,Greenland,Greenland,Northern America,Northern America,-42.07567788066985,74.16847218965994
GRD,Grenada,Grenada,Latin America and the Caribbean,Caribbean,-61.67937937204098,12.112926656338907
GLP,Guadeloupe,Guadeloupe,Latin America and the Caribbean,Caribbean,-61.54382262282755,16.24420002705553
GUM,Guam,Guam,Oceania,Micronesia,144.78024458298802,13.445430479945276
GTM,Guatemala,the Republic of Guatemala,Latin America and the Caribbean,Central America,-90.31219349119617,15.820878515352684
GIN,Guinea,the Republic of Guinea,Africa,Western Africa,-10.986948848040218,10.255986541378112
GNB,Guinea-Bissau,the Republic of Guinea-Bissau,Africa,Western Africa,-14.980186756910847,11.980075324820504
GUY,Guyana,the Republic of Guyana,Latin America and the Caribbean,South America,-58.91352612754667,4.68211981385056
HTI,Haiti,the Republic of Haiti,Latin America and the Caribbean,Caribbean,-72.89291379842,18.883520486983567
VAT,Holy See,the Holy See,Europe,Southern Europe,12.451312917026133,41.90402351316735
HND,Honduras,the Republic of Honduras,Latin America and the Caribbean,Central America,-86.49251679006962,14.740370695750006
HUN,Hungary,the Republic of Hungary,Europe,Eastern Europe,19.39620048366142,47.22527332486294
ISL,Iceland,the Republic of Iceland,Europe,Northern Europe,-19.05682967106099,65.12360920205514
IND,India,the Republic of India,Asia,Southern Asia,81.17300408530181,23.586300567746722
IDN,Indonesia,the Republic of Indonesia,Asia,South-eastern Asia,113.96538246847302,0.15591979959037652
IRN,Iran (Islamic Rep. of),the Islamic Republic of Iran,Asia,Southern Asia,54.237077001065444,32.906023742890056
IRQ,Iraq,the Republic of Iraq,Asia,Western Asia,43.832529181056884,33.105075667527906
IRL,Ireland,Ireland,Europe,Northern Europe,-8.241128545554096,53.30489539816495
ISR,Israel,the State of Israel,Asia,Western Asia,35.027923472437024,31.513542220043195
ITA,Italy,the Italian Republic,Europe,Southern Europe,12.763657166123137,42.98201127614267
JAM,Jamaica,Jamaica,Latin America and the Caribbean,Caribbean,-77.30358894542778,18.12207889341651
JPN,Japan,Japan,Asia,Eastern Asia,137.46934234351835,36.76738832597829
JOR,Jordan,the Hashemite Kingdom of Jordan,Asia,Western Asia,36.95728884547246,31.387064884449156
KAZ,Kazakhstan,the Republic of Kazakstan,Asia,Central Asia,66.3759193479301,47.641465195176835
KEN,Kenya,the Republic of Kenya,Africa,Eastern Africa,37.95309411262371,0.6899182318376179
KIR,Kiribati,Kiribati,Oceania,Micronesia,-157.39024189323504,1.8676673749241066
KWT,Kuwait,the State of Kuwait,Asia,Western Asia,47.56311109320184,29.281360965443092
KGZ,Kyrgyzstan,the Kyrgyz Republic,Asia,Central Asia,74.17532903468319,41.35698905438358
LAO,Lao People's Dem. Rep.,the Lao People's Democratic Republic,Asia,South-eastern Asia,103.76375899026448,18.117282736873282
