year,name_country,code_country,total,continent,region
2009,Afghanistan,AFG,297000,Asia,Southern Asia
2009,Armenia,ARM,8400,Asia,Western Asia
2009,Azerbaijan,AZE,586000,Asia,Western Asia
2009,Burundi,BDI,100000,Africa,Eastern Africa
2009,Bangladesh,BGD,426000,Asia,Southern Asia
2009,Bosnia and Herzegovina,BIH,114000,Europe,Southern Europe
2009,Central African Rep.,CAF,162000,Africa,Middle Africa
2009,Cote d'Ivoire,CIV,342000,Africa,Western Africa
2009,Dem. Rep. of the Congo,COD,1900000,Africa,Middle Africa
2009,Congo,COG,7800,Africa,Middle Africa
2009,Colombia,COL,4916000,Latin America and the Caribbean,South America
2009,Cyprus,CYP,201000,Asia,Western Asia
2009,Eritrea,ERI,10000,Africa,Eastern Africa
2009,Ethiopia,ETH,350000,Africa,Eastern Africa
2009,Georgia,GEO,240000,Asia,Western Asia
2009,Croatia,HRV,2400,Europe,Southern Europe
2009,Indonesia,IDN,70000,Asia,South-eastern Asia
2009,India,IND,500000,Asia,Southern Asia
2009,Iraq,IRQ,2764000,Asia,Western Asia
2009,Kenya,KEN,250000,Africa,Eastern Africa
2009,Lebanon,LBN,90000,Asia,Western Asia
2009,Liberia,LBR,23000,Africa,Western Africa
2009,Sri Lanka,LKA,400000,Asia,Southern Asia
2009,Mexico,MEX,8000,Latin America and the Caribbean,Central America
2009,North Macedonia,MKD,640,Europe,Southern Europe
2009,Myanmar,MMR,470000,Asia,South-eastern Asia
2009,Niger,NER,11000,Africa,Western Africa
2009,Nepal,NPL,60000,Asia,Southern Asia
2009,Pakistan,PAK,1230000,Asia,Southern Asia
2009,Peru,PER,150000,Latin America and the Caribbean,South America
2009,Philippines,PHL,125000,Asia,South-eastern Asia
2009,Palestinian,PSE,160000,Asia,Western Asia
2009,Russian Federation,RUS,80000,Europe,Eastern Europe
2009,Sudan,SDN,4900000,Africa,Northern Africa
2009,Senegal,SEN,24000,Africa,Western Africa
2009,Somalia,SOM,1500000,Africa,Eastern Africa
2009,Serbia and Kosovo: S/RES/1244 (1999),SRB,245000,Europe,Southern Europe
2009,Syrian Arab Rep.,SYR,433000,Asia,Western Asia
2009,Chad,TCD,168000,Africa,Middle Africa
2009,Togo,TGO,10000,Africa,Western Africa
2009,Turkmenistan,TKM,4000,Asia,Central Asia
2009,Timor-Leste,TLS,400,Asia,South-eastern Asia
2009,Türkiye,TUR,1000000,Asia,Western Asia
2009,Uganda,UGA,435000,Africa,Eastern Africa
2009,Uzbekistan,UZB,3400,Asia,Central Asia
2009,Yemen,YEM,175000,Asia,Western Asia
2010,Afghanistan,AFG,352000,Asia,Southern Asia
2010,Armenia,ARM,8400,Asia,Western Asia
2010,Azerbaijan,AZE,593000,Asia,Western Asia
2010,Burundi,BDI,100000,Africa,Eastern Africa
2010,Bangladesh,BGD,426000,Asia,Southern Asia
2010,Bosnia and Herzegovina,BIH,113000,Europe,Southern Europe
2010,Central African Rep.,CAF,192000,Africa,Middle Africa
2010,Cote d'Ivoire,CIV,522000,Africa,Western Africa
2010,Dem. Rep. of the Congo,COD,1700000,Africa,Middle Africa
2010,Congo,COG,7800,Africa,Middle Africa
2010,Colombia,COL,5196000,Latin America and the Caribbean,South America
2010,Cyprus,CYP,208000,Asia,Western Asia
2010,Eritrea,ERI,10000,Africa,Eastern Africa
2010,Ethiopia,ETH,300000,Africa,Eastern Africa
2010,Georgia,GEO,257000,Asia,Western Asia
2010,Croatia,HRV,2300,Europe,Southern Europe
2010,Indonesia,IDN,200000,Asia,South-eastern Asia
2010,India,IND,650000,Asia,Southern Asia
2010,Iraq,IRQ,2800000,Asia,Western Asia
2010,Kenya,KEN,250000,Africa,Eastern Africa
2010,Kyrgyzstan,KGZ,75000,Asia,Central Asia
2010,Lebanon,LBN,75000,Asia,Western Asia
2010,Liberia,LBR,23000,Africa,Western Africa
2010,Sri Lanka,LKA,327000,Asia,Southern Asia
2010,Mexico,MEX,123000,Latin America and the Caribbean,Central America
2010,North Macedonia,MKD,640,Europe,Southern Europe
2010,Myanmar,MMR,446000,Asia,South-eastern Asia
2010,Niger,NER,11000,Africa,Western Africa
2010,Nepal,NPL,50000,Asia,Southern Asia
2010,Pakistan,PAK,980000,Asia,Southern Asia
2010,Peru,PER,150000,Latin America and the Caribbean,South America
2010,Philippines,PHL,15000,Asia,South-eastern Asia
2010,Palestinian,PSE,160000,Asia,Western Asia
2010,Russian Federation,RUS,78000,Europe,Eastern Europe
2010,Sudan,SDN,4800000,Africa,Northern Africa
2010,Senegal,SEN,24000,Africa,Western Africa
2010,Somalia,SOM,1500000,Africa,Eastern Africa
2010,Serbia and Kosovo: S/RES/1244 (1999),SRB,243000,Europe,Southern Europe
2010,Syrian Arab Rep.,SYR,433000,Asia,Western Asia
2010,Chad,TCD,171000,Africa,Middle Africa
2010,Togo,TGO,10000,Africa,Western Africa
2010,Turkmenistan,TKM,4000,Asia,Central Asia
2010,Timor-Leste,TLS,400,Asia,South-eastern Asia
2010,Türkiye,TUR,1000000,Asia,Western Asia
2010,Uganda,UGA,166000,Africa,Eastern Africa
2010,Uzbekistan,UZB,3400,Asia,Central Asia
2010,Yemen,YEM,226000,Asia,Western Asia
2011,Afghanistan,AFG,450000,Asia,Southern Asia
2011,Armenia,ARM,8400,Asia,Western Asia
2011,Azerbaijan,AZE,599000,Asia,Western Asia
2011,Burundi,BDI,79000,Africa,Eastern Africa
2011,Bangladesh,BGD,426000,Asia,Southern Asia
2011,Bosnia and Herzegovina,BIH,113000,Europe,Southern Europe
2011,Central African Rep.,CAF,105000,Africa,Middle Africa
2011,Cote d'Ivoire,CIV,247000,Africa,Western Africa
2011,Dem. Rep. of the Congo,COD,1710000,Africa,Middle Africa
2011,Congo,COG,7800,Africa,Middle Africa
2011,Colombia,COL,5281000,Latin America and the Caribbean,South America
2011,Cyprus,CYP,208000,Asia,Western Asia
2011,Eritrea,ERI,10000,Africa,Eastern Africa
2011,Ethiopia,ETH,350000,Africa,Eastern Africa
2011,Georgia,GEO,270000,Asia,Western Asia
2011,Croatia,HRV,2100,Europe,Southern Europe
2011,Indonesia,IDN,180000,Asia,South-eastern Asia
2011,India,IND,650000,Asia,Southern Asia
2011,Iraq,IRQ,2600000,Asia,Western Asia
2011,Kenya,KEN,250000,Africa,Eastern Africa
2011,Kyrgyzstan,KGZ,67000,Asia,Central Asia
2011,Lebanon,LBN,47000,Asia,Western Asia
2011,Liberia,LBR,23000,Africa,Western Africa
2011,Libya,LBY,154000,Africa,Northern Africa
2011,Sri Lanka,LKA,125000,Asia,Southern Asia
2011,Mexico,MEX,162000,Latin America and the Caribbean,Central America
2011,North Macedonia,MKD,640,Europe,Southern Europe
2011,Myanmar,MMR,450000,Asia,South-eastern Asia
2011,Niger,NER,11000,Africa,Western Africa
2011,Nepal,NPL,50000,Asia,Southern Asia
2011,Pakistan,PAK,900000,Asia,Southern Asia
2011,Peru,PER,150000,Latin America and the Caribbean,South America
2011,Philippines,PHL,46000,Asia,South-eastern Asia
2011,Palestinian,PSE,160000,Asia,Western Asia
2011,Sudan,SDN,2200000,Africa,Northern Africa
2011,Senegal,SEN,24000,Africa,Western Africa
2011,Somalia,SOM,1459000,Africa,Eastern Africa
2011,Serbia and Kosovo: S/RES/1244 (1999),SRB,243000,Europe,Southern Europe
2011,South Sudan,SSD,350000,Africa,Eastern Africa
2011,Syrian Arab Rep.,SYR,600000,Asia,Western Asia
2011,Chad,TCD,126000,Africa,Middle Africa
2011,Togo,TGO,10000,Africa,Western Africa
2011,Thailand,THA,35000,Asia,South-eastern Asia
2011,Turkmenistan,TKM,4000,Asia,Central Asia
2011,Timor-Leste,TLS,900,Asia,South-eastern Asia
2011,Türkiye,TUR,1000000,Asia,Western Asia
2011,Uganda,UGA,30000,Africa,Eastern Africa
2011,Uzbekistan,UZB,3400,Asia,Central Asia
2011,Yemen,YEM,464000,Asia,Western Asia
2012,Afghanistan,AFG,492000,Asia,Southern Asia
2012,Armenia,ARM,8400,Asia,Western Asia
2012,Azerbaijan,AZE,600000,Asia,Western Asia
2012,Burundi,BDI,79000,Africa,Eastern Africa
2012,Bangladesh,BGD,426000,Asia,Southern Asia
2012,Bosnia and Herzegovina,BIH,103000,Europe,Southern Europe
2012,Central African Rep.,CAF,132000,Africa,Middle Africa
2012,Cote d'Ivoire,CIV,80000,Africa,Western Africa
2012,Dem. Rep. of the Congo,COD,2700000,Africa,Middle Africa
2012,Congo,COG,7800,Africa,Middle Africa
2012,Colombia,COL,5455000,Latin America and the Caribbean,South America
2012,Cyprus,CYP,210000,Asia,Western Asia
2012,Eritrea,ERI,10000,Africa,Eastern Africa
2012,Ethiopia,ETH,350000,Africa,Eastern Africa
2012,Georgia,GEO,280000,Asia,Western Asia
2012,Indonesia,IDN,170000,Asia,South-eastern Asia
2012,India,IND,1000000,Asia,Southern Asia
2012,Iraq,IRQ,2100000,Asia,Western Asia
2012,Kenya,KEN,300000,Africa,Eastern Africa
2012,Kyrgyzstan,KGZ,164000,Asia,Central Asia
2012,Lebanon,LBN,45000,Asia,Western Asia
2012,Liberia,LBR,23000,Africa,Western Africa
2012,Libya,LBY,50000,Africa,Northern Africa
2012,Sri Lanka,LKA,93000,Asia,Southern Asia
2012,Mexico,MEX,162000,Latin America and the Caribbean,Central America
2012,North Macedonia,MKD,620,Europe,Southern Europe
2012,Mali,MLI,230000,Africa,Western Africa
2012,Myanmar,MMR,450000,Asia,South-eastern Asia
2012,Niger,NER,11000,Africa,Western Africa
2012,Nepal,NPL,50000,Asia,Southern Asia
2012,Pakistan,PAK,758000,Asia,Southern Asia
2012,Peru,PER,150000,Latin America and the Caribbean,South America
2012,Palestinian,PSE,145000,Asia,Western Asia
2012,Russian Federation,RUS,29000,Europe,Eastern Europe
2012,Sudan,SDN,3000000,Africa,Northern Africa
2012,Senegal,SEN,22000,Africa,Western Africa
2012,Somalia,SOM,1350000,Africa,Eastern Africa
2012,Serbia and Kosovo: S/RES/1244 (1999),SRB,243000,Europe,Southern Europe
2012,South Sudan,SSD,350000,Africa,Eastern Africa
2012,Syrian Arab Rep.,SYR,3000000,Asia,Western Asia
2012,Chad,TCD,90000,Africa,Middle Africa
2012,Togo,TGO,10000,Africa,Western Africa
2012,Thailand,THA,35000,Asia,South-eastern Asia
2012,Turkmenistan,TKM,4000,Asia,Central Asia
2012,Timor-Leste,TLS,900,Asia,South-eastern Asia
2012,Türkiye,TUR,1000000,Asia,Western Asia
2012,Uganda,UGA,30000,Africa,Eastern Africa
2012,Uzbekistan,UZB,3400,Asia,Central Asia
2012,Yemen,YEM,385000,Asia,Western Asia
2013,Afghanistan,AFG,631000,Asia,Southern Asia
2013,Armenia,ARM,8400,Asia,Western Asia
2013,Azerbaijan,AZE,543000,Asia,Western Asia
2013,Burundi,BDI,79000,Africa,Eastern Africa
2013,Bangladesh,BGD,426000,Asia,Southern Asia
2013,Bosnia and Herzegovina,BIH,103000,Europe,Southern Europe
2013,Central African Rep.,CAF,935000,Africa,Middle Africa
2013,Cote d'Ivoire,CIV,80000,Africa,Western Africa
2013,Dem. Rep. of the Congo,COD,2964000,Africa,Middle Africa
2013,Congo,COG,7800,Africa,Middle Africa
2013,Colombia,COL,5700000,Latin America and the Caribbean,South America
2013,Cyprus,CYP,212000,Asia,Western Asia
2013,Eritrea,ERI,10000,Africa,Eastern Africa
2013,Ethiopia,ETH,316000,Africa,Eastern Africa
2013,Georgia,GEO,207000,Asia,Western Asia
2013,Guatemala,GTM,242000,Latin America and the Caribbean,Central America
2013,Indonesia,IDN,90000,Asia,South-eastern Asia
2013,India,IND,526000,Asia,Southern Asia
2013,Iraq,IRQ,2100000,Asia,Western Asia
2013,Kenya,KEN,412000,Africa,Eastern Africa
2013,Lebanon,LBN,20000,Asia,Western Asia
2013,Liberia,LBR,23000,Africa,Western Africa
2013,Libya,LBY,59000,Africa,Northern Africa
2013,Sri Lanka,LKA,90000,Asia,Southern Asia
2013,Mexico,MEX,160000,Latin America and the Caribbean,Central America
2013,North Macedonia,MKD,330,Europe,Southern Europe
2013,Mali,MLI,218000,Africa,Western Africa
2013,Myanmar,MMR,641000,Asia,South-eastern Asia
2013,Niger,NER,11000,Africa,Western Africa
2013,Nigeria,NGA,3300000,Africa,Western Africa
2013,Nepal,NPL,50000,Asia,Southern Asia
2013,Pakistan,PAK,747000,Asia,Southern Asia
2013,Peru,PER,150000,Latin America and the Caribbean,South America
2013,Philippines,PHL,116000,Asia,South-eastern Asia
2013,Palestinian,PSE,146000,Asia,Western Asia
2013,Russian Federation,RUS,35000,Europe,Eastern Europe
2013,Sudan,SDN,2427000,Africa,Northern Africa
2013,Senegal,SEN,24000,Africa,Western Africa
2013,Somalia,SOM,1100000,Africa,Eastern Africa
2013,Serbia and Kosovo: S/RES/1244 (1999),SRB,114000,Europe,Southern Europe
2013,South Sudan,SSD,383000,Africa,Eastern Africa
2013,Syrian Arab Rep.,SYR,6500000,Asia,Western Asia
2013,Chad,TCD,90000,Africa,Middle Africa
2013,Togo,TGO,10000,Africa,Western Africa
2013,Thailand,THA,35000,Asia,South-eastern Asia
2013,Turkmenistan,TKM,4000,Asia,Central Asia
2013,Timor-Leste,TLS,900,Asia,South-eastern Asia
2013,Türkiye,TUR,954000,Asia,Western Asia
2013,Uganda,UGA,30000,Africa,Eastern Africa
2013,Uzbekistan,UZB,3400,Asia,Central Asia
2013,Yemen,YEM,307000,Asia,Western Asia
2014,Afghanistan,AFG,805000,Asia,Southern Asia
2014,Armenia,ARM,8400,Asia,Western Asia
2014,Azerbaijan,AZE,569000,Asia,Western Asia
2014,Burundi,BDI,78000,Africa,Eastern Africa
2014,Bangladesh,BGD,426000,Asia,Southern Asia
2014,Bosnia and Herzegovina,BIH,100000,Europe,Southern Europe
2014,Central African Rep.,CAF,439000,Africa,Middle Africa
2014,Cote d'Ivoire,CIV,301000,Africa,Western Africa
2014,Cameroon,CMR,40000,Africa,Middle Africa
2014,Dem. Rep. of the Congo,COD,2757000,Africa,Middle Africa
2014,Congo,COG,7800,Africa,Middle Africa
2014,Colombia,COL,6044000,Latin America and the Caribbean,South America
2014,Cyprus,CYP,212000,Asia,Western Asia
2014,Egypt,EGY,4100,Africa,Northern Africa
2014,Eritrea,ERI,10000,Africa,Eastern Africa
2014,Ethiopia,ETH,397000,Africa,Eastern Africa
2014,Georgia,GEO,233000,Asia,Western Asia
2014,Guatemala,GTM,249000,Latin America and the Caribbean,Central America
2014,Honduras,HND,29000,Latin America and the Caribbean,Central America
2014,Indonesia,IDN,84000,Asia,South-eastern Asia
2014,India,IND,854000,Asia,Southern Asia
2014,Iraq,IRQ,3276000,Asia,Western Asia
2014,Kenya,KEN,309000,Africa,Eastern Africa
2014,Lebanon,LBN,20000,Asia,Western Asia
2014,Liberia,LBR,23000,Africa,Western Africa
2014,Libya,LBY,400000,Africa,Northern Africa
2014,Sri Lanka,LKA,90000,Asia,Southern Asia
2014,Mexico,MEX,281000,Latin America and the Caribbean,Central America
2014,North Macedonia,MKD,220,Europe,Southern Europe
2014,Mali,MLI,62000,Africa,Western Africa
2014,Myanmar,MMR,645000,Asia,South-eastern Asia
2014,Niger,NER,11000,Africa,Western Africa
2014,Nigeria,NGA,1075000,Africa,Western Africa
2014,Nepal,NPL,50000,Asia,Southern Asia
2014,Pakistan,PAK,1900000,Asia,Southern Asia
2014,Peru,PER,150000,Latin America and the Caribbean,South America
2014,Philippines,PHL,78000,Asia,South-eastern Asia
2014,Papua New Guinea,PNG,7500,Oceania,Melanesia
2014,Palestinian,PSE,275000,Asia,Western Asia
2014,Russian Federation,RUS,25000,Europe,Eastern Europe
2014,Sudan,SDN,3100000,Africa,Northern Africa
2014,Senegal,SEN,24000,Africa,Western Africa
2014,Somalia,SOM,1107000,Africa,Eastern Africa
2014,Serbia and Kosovo: S/RES/1244 (1999),SRB,114000,Europe,Southern Europe
2014,South Sudan,SSD,1498000,Africa,Eastern Africa
2014,Syrian Arab Rep.,SYR,7600000,Asia,Western Asia
2014,Chad,TCD,71000,Africa,Middle Africa
2014,Togo,TGO,10000,Africa,Western Africa
2014,Thailand,THA,35000,Asia,South-eastern Asia
2014,Turkmenistan,TKM,4000,Asia,Central Asia
2014,Timor-Leste,TLS,900,Asia,South-eastern Asia
2014,Türkiye,TUR,954000,Asia,Western Asia
2014,Uganda,UGA,30000,Africa,Eastern Africa
2014,Ukraine,UKR,647000,Europe,Eastern Europe
2014,Uzbekistan,UZB,3400,Asia,Central Asia
2014,Yemen,YEM,334000,Asia,Western Asia
2015,Afghanistan,AFG,1174000,Asia,Southern Asia
2015,Armenia,ARM,8400,Asia,Western Asia
2015,Azerbaijan,AZE,564000,Asia,Western Asia
2015,Burundi,BDI,99000,Africa,Eastern Africa
2015,Bangladesh,BGD,426000,Asia,Southern Asia
2015,Bosnia and Herzegovina,BIH,98000,Europe,Southern Europe
2015,Central African Rep.,CAF,452000,Africa,Middle Africa
2015,Cote d'Ivoire,CIV,303000,Africa,Western Africa
2015,Cameroon,CMR,124000,Africa,Middle Africa
2015,Dem. Rep. of the Congo,COD,1500000,Africa,Middle Africa
2015,Congo,COG,7800,Africa,Middle Africa
2015,Colombia,COL,6270000,Latin America and the Caribbean,South America
2015,Cyprus,CYP,272000,Asia,Western Asia
2015,Egypt,EGY,9100,Africa,Northern Africa
2015,Ethiopia,ETH,450000,Africa,Eastern Africa
2015,Georgia,GEO,239000,Asia,Western Asia
2015,Guatemala,GTM,251000,Latin America and the Caribbean,Central America
2015,Honduras,HND,174000,Latin America and the Caribbean,Central America
2015,Indonesia,IDN,6100,Asia,South-eastern Asia
2015,India,IND,612000,Asia,Southern Asia
2015,Iraq,IRQ,3290000,Asia,Western Asia
2015,Kenya,KEN,309000,Africa,Eastern Africa
2015,Lebanon,LBN,12000,Asia,Western Asia
2015,Libya,LBY,500000,Africa,Northern Africa
2015,Sri Lanka,LKA,44000,Asia,Southern Asia
2015,Mexico,MEX,287000,Latin America and the Caribbean,Central America
2015,North Macedonia,MKD,200,Europe,Southern Europe
2015,Mali,MLI,50000,Africa,Western Africa
2015,Myanmar,MMR,644000,Asia,South-eastern Asia
2015,Niger,NER,153000,Africa,Western Africa
2015,Nigeria,NGA,2096000,Africa,Western Africa
2015,Nepal,NPL,50000,Asia,Southern Asia
2015,Pakistan,PAK,1459000,Asia,Southern Asia
2015,Peru,PER,60000,Latin America and the Caribbean,South America
2015,Philippines,PHL,62000,Asia,South-eastern Asia
2015,Papua New Guinea,PNG,6300,Oceania,Melanesia
2015,Palestinian,PSE,221000,Asia,Western Asia
2015,Russian Federation,RUS,27000,Europe,Eastern Europe
2015,Sudan,SDN,3182000,Africa,Northern Africa
2015,Senegal,SEN,24000,Africa,Western Africa
2015,Somalia,SOM,1223000,Africa,Eastern Africa
2015,South Sudan,SSD,1697000,Africa,Eastern Africa
2015,Syrian Arab Rep.,SYR,6600000,Asia,Western Asia
2015,Chad,TCD,107000,Africa,Middle Africa
2015,Togo,TGO,3000,Africa,Western Africa
2015,Thailand,THA,35000,Asia,South-eastern Asia
2015,Türkiye,TUR,954000,Asia,Western Asia
2015,Uganda,UGA,30000,Africa,Eastern Africa
2015,Ukraine,UKR,1679000,Europe,Eastern Europe
2015,Serbia and Kosovo: S/RES/1244 (1999),SRB,17000,Europe,Southern Europe
2015,Yemen,YEM,2509000,Asia,Western Asia
2016,Afghanistan,AFG,1553000,Asia,Southern Asia
2016,Armenia,ARM,8400,Asia,Western Asia
2016,Azerbaijan,AZE,582000,Asia,Western Asia
2016,Burundi,BDI,59000,Africa,Eastern Africa
2016,Burkina Faso,BFA,700,Africa,Western Africa
2016,Bangladesh,BGD,426000,Asia,Southern Asia
2016,Bosnia and Herzegovina,BIH,98000,Europe,Southern Europe
2016,Central African Rep.,CAF,412000,Africa,Middle Africa
2016,Cote d'Ivoire,CIV,301000,Africa,Western Africa
2016,Cameroon,CMR,177000,Africa,Middle Africa
2016,Dem. Rep. of the Congo,COD,2230000,Africa,Middle Africa
2016,Congo,COG,33000,Africa,Middle Africa
2016,Colombia,COL,7246000,Latin America and the Caribbean,South America
2016,Cyprus,CYP,272000,Asia,Western Asia
2016,Algeria,DZA,2500,Africa,Northern Africa
2016,Egypt,EGY,9100,Africa,Northern Africa
2016,Ethiopia,ETH,258000,Africa,Eastern Africa
2016,Georgia,GEO,208000,Asia,Western Asia
2016,Guatemala,GTM,257000,Latin America and the Caribbean,Central America
2016,Honduras,HND,190000,Latin America and the Caribbean,Central America
2016,Indonesia,IDN,7100,Asia,South-eastern Asia
2016,India,IND,796000,Asia,Southern Asia
2016,Iraq,IRQ,3035000,Asia,Western Asia
2016,Kenya,KEN,138000,Africa,Eastern Africa
2016,Lebanon,LBN,12000,Asia,Western Asia
2016,Libya,LBY,304000,Africa,Northern Africa
2016,Sri Lanka,LKA,44000,Asia,Southern Asia
2016,Mexico,MEX,311000,Latin America and the Caribbean,Central America
2016,North Macedonia,MKD,150,Europe,Southern Europe
2016,Mali,MLI,37000,Africa,Western Africa
2016,Myanmar,MMR,644000,Asia,South-eastern Asia
2016,Mozambique,MOZ,15000,Africa,Eastern Africa
2016,Niger,NER,136000,Africa,Western Africa
2016,Nigeria,NGA,1955000,Africa,Western Africa
2016,Nepal,NPL,50000,Asia,Southern Asia
2016,Pakistan,PAK,464000,Asia,Southern Asia
2016,Peru,PER,62000,Latin America and the Caribbean,South America
2016,Philippines,PHL,87000,Asia,South-eastern Asia
2016,Papua New Guinea,PNG,8400,Oceania,Melanesia
2016,Palestinian,PSE,193000,Asia,Western Asia
2016,Russian Federation,RUS,19000,Europe,Eastern Europe
2016,Sudan,SDN,3300000,Africa,Northern Africa
2016,Senegal,SEN,24000,Africa,Western Africa
2016,Somalia,SOM,1107000,Africa,Eastern Africa
2016,South Sudan,SSD,1854000,Africa,Eastern Africa
2016,Syrian Arab Rep.,SYR,6326000,Asia,Western Asia
2016,Chad,TCD,108000,Africa,Middle Africa
2016,Togo,TGO,1500,Africa,Western Africa
2016,Thailand,THA,35000,Asia,South-eastern Asia
2016,Türkiye,TUR,1108000,Asia,Western Asia
2016,Uganda,UGA,53000,Africa,Eastern Africa
2016,Ukraine,UKR,1653000,Europe,Eastern Europe
2016,Serbia and Kosovo: S/RES/1244 (1999),SRB,17000,Europe,Southern Europe
2016,Yemen,YEM,1974000,Asia,Western Asia
2017,Afghanistan,AFG,1286000,Asia,Southern Asia
2017,Azerbaijan,AZE,393000,Asia,Western Asia
2017,Burundi,BDI,57000,Africa,Eastern Africa
2017,Burkina Faso,BFA,4900,Africa,Western Africa
2017,Bangladesh,BGD,432000,Asia,Southern Asia
2017,Bosnia and Herzegovina,BIH,99000,Europe,Southern Europe
2017,Central African Rep.,CAF,689000,Africa,Middle Africa
2017,Cote d'Ivoire,CIV,16000,Africa,Western Africa
2017,Cameroon,CMR,239000,Africa,Middle Africa
2017,Dem. Rep. of the Congo,COD,4480000,Africa,Middle Africa
2017,Congo,COG,108000,Africa,Middle Africa
